Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
Zero Dark Thirty,2012,"Mark Boal, Kathryn Bigelow, and Megan Ellison",Nominee,0,2012,157,Drama,History,Thriller,7.4,283119,,,R,Kathryn Bigelow,,Jessica Chastain, Jason Clarke, Joel Edgerton,,,Sony Pictures Home Entertainment,,91,303,,80,100000,74,276,27,cc2c5a6a-c66c-4d94-9dcd-2c588ffdb607
Argo,2012,"Grant Heslov, Ben Affleck, and George Clooney",Winner,1,2012,120,Biography,Drama,Thriller,7.7,588984,"On Nov. 4, 1979, militants storm the U.S. embassy in Tehran, Iran, taking 66 American hostages. Amid the chaos, six Americans manage to slip away and find refuge with the Canadian ambassador. Knowing that it's just a matter of time before the refugees are found and likely executed, the U.S. government calls on extractor Tony Mendez (Ben Affleck) to rescue them. Mendez's plan is to pose as a Hollywood producer scouting locations in Iran and train the refugees to act as his ""film"" crew.","Tense, exciting, and often darkly comic, Argo recreates a historical event with vivid attention to detail and finely wrought characters.",R,Ben Affleck,Chris Terrio,Ben Affleck, Alan Arkin, John Goodman,41194,41774,Warner Bros. Pictures,Certified-Fresh,96,356,Upright,90,208711,63,341,15,df2afe2f-24a3-4bef-bbbc-716e24c5c723
Philomena,2013,"Gabrielle Tana, Steve Coogan, and Tracey Seaward",Nominee,0,2013,98,Biography,Comedy,Drama,7.6,96771,"In 1952, Irish teenager Philomena (Judi Dench) became pregnant out of wedlock and was sent to a convent. When her baby, Anthony, was a toddler, the nuns took Philomena's child away from her and put him up for adoption in the United States. For the next 50 years, she searched tirelessly for her son. When former BBC correspondent Martin Sixsmith (Steve Coogan) learns of the story, he becomes her ally. They travel together to America to find Anthony and become unexpectedly close in the process.","Based on a powerful true story and led by note-perfect performances from Judi Dench and Steve Coogan, Philomena offers a profoundly affecting drama for adult filmgoers of all ages.",PG13,Stephen Frears,"Jeff Pope, Steve Coogan",Judi Dench, Steve Coogan, Sophie Kennedy Clark,41600,42720,The Weinstein Company,Certified-Fresh,90,198,Upright,89,52399,51,179,19,dd456cf6-adef-4ce6-98a9-5e59bbb27189
Nebraska,2013,Albert Berger and Ron Yerxa,Nominee,0,2013,115,Adventure,Comedy,Drama,7.7,115031,"Cantankerous old buzzard Woody Grant (Bruce Dern) can barely walk down the street of his home in Billings, Mont., without stopping for a drink. So when Woody receives receives a sweepstakes notice in the mail and insists on making a 750-mile trip to Lincoln, Neb., to collect his prize, it falls to baffled son David (Will Forte) to accompany him. During a stop in their Nebraska hometown, word gets out about Woody's fortune, first making him a hero, then later, the target of predatory people.","Elegant in its simplicity and poetic in its message, Nebraska adds another stirringly resonant chapter to Alexander Payne's remarkable filmography.",R,Alexander Payne,Bob Nelson,Bruce Dern, Will Forte, June Squibb,41593,42316,Paramount Pictures,Certified-Fresh,91,247,Upright,83,44798,56,225,23,fb0e0e48-dd1c-47a9-9c5a-e7617cd1f233
Dallas Buyers Club,2013,Robbie Brenner and Rachel Winter,Nominee,0,2013,117,Biography,Drama,NG,8,459404,"In mid-1980s Texas, electrician Ron Woodroof (Matthew McConaughey) is stunned to learn that he has AIDS. Though told that he has just 30 days left to live, Woodroof refuses to give in to despair. He seeks out alternative therapies and smuggles unapproved drugs into the U.S. from wherever he can find them. Woodroof joins forces with a fellow AIDS patient (Jared Leto) and begins selling the treatments to the growing number of people who can't wait for the medical establishment to save them.","Dallas Buyers Club rests squarely on Matthew McConaughey's scrawny shoulders, and he carries the burden gracefully with what might be a career-best performance.",R,Jean Marc Valle,"Craig Borten, Melisa Wallack",Matthew McConaughey, Jared Leto, Jennifer Garner,41579,42235,Focus Features,Certified-Fresh,93,257,Upright,91,92788,59,239,19,15d6f774-4640-49dd-b1bf-f1e3454ee368
Captain Phillips,2013,"Scott Rudin, Dana Brunetti, and Michael De Luca",Nominee,0,2013,134,Adventure,Biography,Crime,7.8,436364,"In April 2009, the U.S. containership Maersk Alabama sails toward its destination on a day that seems like any other. Suddenly, Somali pirates race toward the vessel, climb aboard and take everyone hostage. The captain of the ship, Richard Phillips (Tom Hanks), looks to protect his crew from the hostile invaders, and their leader, Muse (Barkhad Abdi). The pirates are after millions of dollars, and Phillips must use his wits to make sure everyone survives and returns home safely.","Smart, powerfully acted, and incredibly intense, Captain Phillips offers filmgoers a Hollywood biopic done right -- and offers Tom Hanks a showcase for yet another brilliant performance.",PG13,Paul Greengrass,Billy Ray,Tom Hanks, Catherine Keener, Barkhad Abdi,41558,42321,Sony Pictures Classics,Certified-Fresh,93,274,Upright,89,152496,59,256,19,8e3f5cbe-ba2c-4f7a-a557-030aa0eb3f44
Her,2013,"Megan Ellison, Spike Jonze, and Vincent Landay",Nominee,0,2013,126,Drama,Romance,Sci-Fi,8,565149,"A sensitive and soulful man earns a living by writing personal letters for other people. Left heartbroken after his marriage ends, Theodore (Joaquin Phoenix) becomes fascinated with a new operating system which reportedly develops into an intuitive and unique entity in its own right. He starts the program and meets ""Samantha"" (Scarlett Johansson), whose bright voice reveals a sensitive, playful personality. Though ""friends"" initially, the relationship soon deepens into love.","Sweet, soulful, and smart, Spike Jonze's Her uses its just-barely-sci-fi scenario to impart wryly funny wisdom about the state of modern human relationships.",R,Spike Jonze,Spike Jonze,Joaquin Phoenix, Amy Adams, Scarlett Johansson,41626,42275,Warner Bros. Pictures,Certified-Fresh,95,278,Upright,82,101535,53,263,15,49a7e2c9-87c7-496f-b097-f30d641f6bbe
The Wolf of Wall Street,2013,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff",Nominee,0,2013,180,Biography,Crime,Drama,8.2,1257166,"In 1987, Jordan Belfort (Leonardo DiCaprio) takes an entry-level job at a Wall Street brokerage firm. By the early 1990s, while still in his 20s, Belfort founds his own firm, Stratton Oakmont. Together with his trusted lieutenant (Jonah Hill) and a merry band of brokers, Belfort makes a huge fortune by defrauding wealthy investors out of millions. However, while Belfort and his cronies partake in a hedonistic brew of sex, drugs and thrills, the SEC and the FBI close in on his empire of excess.","Funny, self-referential, and irreverent to a fault, The Wolf of Wall Street finds Martin Scorsese and Leonardo DiCaprio at their most infectiously dynamic.",R,Martin Scorsese,Terence Winter,Leonardo DiCaprio, Jonah Hill, Margot Robbie,41633,42350,Paramount Pictures,Certified-Fresh,80,284,Upright,83,180827,55,226,58,bdad64df-7778-4870-9d2f-f4aa2141388e
American Hustle,2013,"Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon",Nominee,0,2013,138,Crime,Drama,NG,7.2,460918,"Irving Rosenfeld (Christian Bale) dabbles in forgery and loan-sharking, but when he falls for fellow grifter Sydney Prosser (Amy Adams), things change in a big way. Caught red-handed by FBI agent Richie DiMaso (Bradley Cooper), Irv and Sydney are forced to work under cover as part of DiMaso's sting operation to nail a New Jersey mayor (Jeremy Renner). Meanwhile, Irv's jealous wife (Jennifer Lawrence) may be the one to bring everyone's world crashing down. Based on the 1970s Abscam case.","Riotously funny and impeccably cast, American Hustle compensates for its flaws with unbridled energy and some of David O. Russell's most irrepressibly vibrant direction.",R,David O. Russell,"Eric Warren Singer, David O. Russell",Christian Bale, Bradley Cooper, Amy Adams,41628,41889,Sony Pictures Classics,Certified-Fresh,92,289,Upright,74,175937,55,267,22,4ca961d2-bac4-43ee-be0c-325348503edd
Gravity,2013,Alfonso Cuarón and David Heyman,Nominee,0,2013,91,Drama,Sci-Fi,Thriller,7.7,789470,"Dr. Ryan Stone (Sandra Bullock) is a medical engineer on her first shuttle mission. Her commander is veteran astronaut Matt Kowalsky (George Clooney), helming his last flight before retirement. Then, during a routine space walk by the pair, disaster strikes: The shuttle is destroyed, leaving Ryan and Matt stranded in deep space with no link to Earth and no hope of rescue. As fear turns to panic, they realize that the only way home may be to venture further into space.","Alfonso Cuarón's Gravity is an eerie, tense sci-fi thriller that's masterfully directed and visually stunning.",PG13,Alfonso Cuaron,"Alfonso Cuarón, Jonás Cuarón",Sandra Bullock, George Clooney, Ed Harris,41551,42352,Warner Bros. Pictures,Certified-Fresh,96,354,Upright,80,303162,64,339,15,3b72ef21-a1a0-4bae-ac7d-62bbb2a8fb97
12 Years a Slave,2013,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas",Winner,1,2013,134,Biography,Drama,History,8.1,662741,"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.","It's far from comfortable viewing, but 12 Years a Slave's unflinchingly brutal look at American slavery is also brilliant -- and quite possibly essential -- cinema.",R,Steve McQueen III,John Ridley,Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch,41565,42247,Fox Searchlight,Certified-Fresh,95,365,Upright,90,140313,64,348,17,219ec9bd-2d5c-40c8-b914-bca2446ddcda
The Theory of Everything,2014,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",Nominee,0,2014,123,Biography,Drama,Romance,7.7,421764,"In the 1960s, Cambridge University student and future physicist Stephen Hawking (Eddie Redmayne) falls in love with fellow collegian Jane Wilde (Felicity Jones). At 21, Hawking learns that he has motor neuron disease. Despite this -- and with Jane at his side -- he begins an ambitious study of time, of which he has very little left, according to his doctor. He and Jane defy terrible odds and break new ground in the fields of medicine and science, achieving more than either could hope to imagine.","Part biopic, part love story, The Theory of Everything rises on James Marsh's polished direction and the strength of its two leads.",PG13,James Marsh,Anthony McCarten,Eddie Redmayne, Felicity Jones, Emily Watson,41950,42347,Focus Features,Certified-Fresh,80,270,Upright,84,75918,60,215,55,82023c5d-f065-4616-bbab-970e84a58d8a
The Imitation Game,2014,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",Nominee,0,2014,114,Biography,Drama,Thriller,8,714452,"In 1939, newly created British intelligence agency MI6 recruits Cambridge mathematics alumnus Alan Turing (Benedict Cumberbatch) to crack Nazi codes, including Enigma -- which cryptanalysts had thought unbreakable. Turing's team, including Joan Clarke (Keira Knightley), analyze Enigma messages while he builds a machine to decipher them. Turing and team finally succeed and become heroes, but in 1952, the quiet genius encounters disgrace when authorities reveal he is gay and send him to prison.","With an outstanding starring performance from Benedict Cumberbatch illuminating its fact-based story, The Imitation Game serves as an eminently well-made entry in the ""prestige biopic"" genre.",PG13,Morten Tyldum,Graham Moore,Benedict Cumberbatch, Keira Knightley, Allen Leech,41971,42704,The Weinstein Company,Certified-Fresh,89,281,Upright,91,103920,60,251,30,e0336cbf-d6e0-4e6f-990f-854660d715dc
