Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
The Ox-Bow Incident,1943,20th Century-Fox,Nominee,0,1942,75,Adventure,Drama,Western,8,22189,,,NR,William A. Wellman,,Henry Fonda, Dana Andrews, Harry Morgan,,,20th Century Fox,,91,22,,91,5000,3,20,2,5577eaba-960d-452f-a3f3-6a1bc66070a0
Casablanca,1943,Warner Bros.,Winner,1,1942,102,Drama,Romance,War,8.5,541023,"Rick Blaine (Humphrey Bogart), who owns a nightclub in Casablanca, discovers his old flame Ilsa (Ingrid Bergman) is in town with her husband, Victor Laszlo (Paul Henreid). Laszlo is a famed rebel, and with Germans on his tail, Ilsa knows Rick can help them get out of the country.","An undisputed masterpiece and perhaps Hollywood's quintessential statement on love and romance, Casablanca has only improved with age, boasting career-defining performances from Humphrey Bogart and Ingrid Bergman.",PG,Michael Curtiz,"Julius J. Epstein, Philip G. Epstein, Howard Koch, Michael Curtiz",Humphrey Bogart, Ingrid Bergman, Claude Rains,15671,39675,Warner Bros. Pictures,Certified-Fresh,99,92,Upright,95,357518,23,91,1,5450540a-1dec-4572-8752-75c5ae55cf7d
Wilson,1944,20th Century-Fox,Nominee,0,1944,154,Biography,Drama,History,6.4,1525,,,NR,Henry King,,Alexander Knox, Charles Coburn, Geraldine Fitzgerald,,,20th Century Fox,,89,9,,42,250,2,5,2,2591f82c-c979-47ab-9974-750661ef6a59
Since You Went Away,1944,Selznick International Pictures,Nominee,0,1944,177,Drama,Romance,War,7.5,4428,,,NR,John Cromwell,,Claudette Colbert, Jennifer Jones, Joseph Cotten,,,United Artists,,83,12,,80,1000,2,10,2,8eee9309-2368-44a0-b135-e1d857b03f3a
Going My Way,1944,Paramount,Winner,1,1944,126,Comedy,Drama,Music,7.1,11187,"Father Charles O'Malley (Bing Crosby) is an easy-going, golf-playing young priest whose entry into a tough neighborhood parish in midtown Manhattan is viewed with skepticism from all quarters, especially the aging Father Fitzgibbon (Barry Fitzgerald). While dealing with some unfinished business from his former life in the form of an old flame who now sings at the Metropolitan Opera (Rise Stevens), Father O'Malley inspires the youth of his parish by forming a boys choir.","Bing Crosby and Barry Fitzgerald are eminently likable, and film is pleasantly sentimental, but Going My Way suffers from a surplus of sweetness.",G,Leo McCarey,"Frank Corvett, Frank Butler, Frank Cavett, Leo McCarey",Bing Crosby, Barry Fitzgerald, Rise Stevens,16195,41015,Paramount Pictures,Fresh,81,31,Upright,75,5784,7,25,6,e8c09304-ad53-4c4d-9d08-72b059d37892
Gaslight,1944,Metro-Goldwyn-Mayer,Nominee,0,1944,114,Crime,Drama,Mystery,7.8,26296,"After the death of her famous opera-singing aunt, Paula (Ingrid Bergman) is sent to study in Italy to become a great opera singer as well. While there, she falls in love with the charming Gregory Anton (Charles Boyer). The two return to London, and Paula begins to notice strange goings-on: missing pictures, strange footsteps in the night and gaslights that dim without being touched. As she fights to retain her sanity, her new husband's intentions come into question.",,PG,George Cukor,"John Van Druten, Walter Reisch, John L. Balderston",Ingrid Bergman, Charles Boyer, Joseph Cotten,16203,41799,MGM,Fresh,87,31,Upright,90,8527,6,27,4,bd1cbfe3-80d9-4c20-81ee-1fcccdd3b2a4
Double Indemnity,1944,Paramount,Nominee,0,1944,107,Crime,Drama,Film-Noir,8.3,149399,"In this classic film noir, insurance salesman Walter Neff (Fred MacMurray) gets roped into a murderous scheme when he falls for the sensual Phyllis Dietrichson (Barbara Stanwyck), who is intent on killing her husband (Tom Powers) and living off the fraudulent accidental death claim. Prompted by the late Mr. Dietrichson's daughter, Lola (Jean Heather), insurance investigator Barton Keyes (Edward G. Robinson) looks into the case, and gradually begins to uncover the sinister truth.","A dark, tautly constructed adaptation of James M. Cain's novel -- penned by Billy Wilder and Raymond Chandler -- Double Indemnity continues to set the standard for the best in Hollywood film noir.",NR,Billy Wilder,"Raymond Chandler, Billy Wilder",Barbara Stanwyck, Fred MacMurray, Edward G. Robinson,16321,41913,Paramount Pictures,Certified-Fresh,97,64,Upright,95,35764,13,62,2,c08eaccc-190e-4e88-bb31-e2a9ddf6f09c
Anchors Aweigh,1945,Metro-Goldwyn-Mayer,Nominee,0,1945,140,Comedy,Fantasy,Music,7.1,8298,"Joe (Gene Kelly) and Clarence (Frank Sinatra) are two young Navy sailors on leave in glitzy Los Angeles. The two men at first plan to use their layover as an opportunity to relax, but they soon find themselves in a complicated web of comic secrets. When the two buddies find a runaway boy and return him to his fame-hungry Aunt Susan (Kathryn Grayson), both men find themselves falling for the wannabe singer, setting off a series of misadventures that unfold in comedy and song.",,NR,George Sidney,Isobel Lennart,Gene Kelly, Frank Sinatra, Kathryn Grayson,16438,39664,MGM,Fresh,62,13,Upright,79,8284,4,8,5,a9713f3b-472e-4338-bd59-6021b65a9c75
The Bells of St. Mary's,1945,Rainbow Productions,Nominee,0,1945,126,Drama,NG,NG,7.3,7546,,,NR,Leo McCarey,,Bing Crosby,Ingrid Bergman, Henry Travers,,,Rainbow Productions,,85,20,,77,5000,5,17,3,f155c808-5944-457e-a02a-a21df320706a
The Lost Weekend,1945,Paramount,Winner,1,1945,101,Drama,Film-Noir,NG,7.9,35261,"Writer Don Birnam (Ray Milland) is on the wagon. Sober for only a few days, Don is supposed to be spending the weekend with his brother, Wick (Phillip Terry), but, eager for a drink, Don convinces his girlfriend (Jane Wyman) to take Wick to a show. Don, meanwhile, heads to his local bar and misses the train out of town. After recounting to the bartender (Howard da Silva) how he developed a drinking problem, Don goes on a weekend-long bender that just might prove to be his last.","Director Billy Wilder's unflinchingly honest look at the effects of alcoholism may have had some of its impact blunted by time, but it remains a powerful and remarkably prescient film.",NR,Billy Wilder,"Billy Wilder, Charles Brackett",Ray Milland, Jane Wyman, Howard Da Silva,16757,42458,Paramount Pictures,Fresh,97,39,Upright,90,8866,9,38,1,0b7a2648-33c4-4eed-b40d-86b581f69c9c
Spellbound,1945,Selznick International Pictures,Nominee,0,1945,111,Film-Noir,Mystery,Romance,7.5,46578,,,NR,Alfred Hitchcock,,Ingrid Bergman, Gregory Peck, Michael Chekhov,,,Selznick International Pictures,,85,40,,82,10000,5,34,6,e285e8cf-d49c-48b8-b75f-20dcb3d82804
Mildred Pierce,1945,Warner Bros.,Nominee,0,1945,111,Crime,Drama,Film-Noir,8,24288,"When Mildred Pierce's (Joan Crawford) wealthy husband leaves her for another woman, Mildred decides to raise her two daughters on her own. Despite Mildred's financial successes in the restaurant business, her oldest daughter, Veda (Ann Blyth), resents her mother for degrading their social status. In the midst of a police investigation after the death of her second husband (Zachary Scott), Mildred must evaluate her own freedom and her complicated relationship with her daughter.","Tied together by a powerhouse performance from Joan Crawford, Mildred Pierce blends noir and social drama to soapily intoxicating effect.",NR,Michael Curtiz,Ranald MacDougall,Joan Crawford, Ann Blyth, Jack Carson,16730,39813,MGM,Certified-Fresh,86,44,Upright,90,8234,9,38,6,6f3cf796-6ae0-4219-84c8-211dd3ec205d
The Razor's Edge,1946,20th Century-Fox,Nominee,0,1946,145,Drama,Romance,NG,7.4,5770,"An American fighter pilot, Larry Darrell (Tyrone Power), returns from World War I sickened by the violence and fighting he has witnessed. In search of meaning, he travels to Paris, where he tries to live modestly. However, this leads Larry's fiancée, the status-seeking Isabel Bradley (Gene Tierney), to break off the engagement. But Isabel returns to Larry's life when he becomes romantically involved with Sophie (Anne Baxter), a troubled alcoholic recovering from tragedy.",,NR,Edmund Goulding,Lamar Trotti,Tyrone Power, Gene Tierney, Clifton Webb,16803,42125,20th Century Fox,Fresh,71,7,Upright,72,1905,0,5,2,3328143b-a27d-4cfc-b6d8-44086e698a9e
The Yearling,1946,Metro-Goldwyn-Mayer,Nominee,0,1946,128,Drama,Family,Western,7.2,5658,"Based on the novel by Marjorie Kinnan Rawlings, this drama focuses on the family of Civil War veteran Penny Baxter (Gregory Peck), who lives and works on a farm in Florida with his wife, Orry (Jane Wyman), and their son, Jody (Claude Jarman Jr.). The only surviving child of the family, Jody longs for companionship and unexpectedly finds it in the form of an orphaned fawn. While Penny is supportive of his son's four-legged friend, Orry is not, leading to heartbreaking conflict.",,G,Clarence Brown,Paul Osborn,Gregory Peck, Jane Wyman, Claude Jarman Jr.,17154,39904,MGM,Fresh,100,14,Upright,76,3770,0,14,0,c7fac549-3837-42a5-b768-9312e6104ee9
Henry V,1946,Two Cities Films,Nominee,0,1944,137,Biography,Drama,History,7.1,6145,,,NR,Laurence Olivier,,Laurence Olivier, Robert Newton, Renee Asherson,,,United Artists,,100,28,,75,2500,12,28,0,8be23af2-d367-4e60-aae1-77505db9de19
The Best Years of Our Lives,1946,Samuel Goldwyn Productions,Winner,1,1946,170,Drama,Romance,War,8.1,60810,"Fred, Al and Homer are three World War II veterans facing difficulties as they re-enter civilian life. Fred (Dana Andrews) is a war hero who, unable to compete with more highly skilled workers, has to return to his low-wage soda jerk job. Bank executive Al (Fredric March) gets into trouble for offering favorable loans to veterans. After losing both hands in the war, Homer (Harold Russell) returns to his loving fiancée, but must struggle to adjust.","An engrossing look at the triumphs and travails of war veterans, The Best Years of Our Lives is concerned specifically with the aftermath of World War II, but its messages speak to the overall American experience.",NR,William Wyler,Robert E. Sherwood,Fredric March, Dana Andrews, Harold Russell,17127,41244,RKO Radio Pictures,Certified-Fresh,97,60,Upright,93,10819,14,58,2,0d07ce49-6844-4370-b4d7-10d9f02565ba
It's a Wonderful Life,1946,Liberty Films,Nominee,0,1946,130,Drama,Family,Fantasy,8.6,420975,"After George Bailey (James Stewart) wishes he had never been born, an angel (Henry Travers) is sent to earth to make George's wish come true. George starts to realize how many lives he has changed and impacted, and how they would be different if he was never there.","The holiday classic to define all holiday classics, It's a Wonderful Life is one of a handful of films worth an annual viewing.",PG,Frank Capra,"Frank Capra, Frances Goodrich, Albert Hackett",James Stewart, Donna Reed, Lionel Barrymore,17161,42704,Liberty Films,Certified-Fresh,94,82,Upright,95,218883,16,77,5,d17331c1-4d16-4d92-8718-629629129d7c
Crossfire,1947,RKO Radio,Nominee,0,1947,86,Crime,Drama,Film-Noir,7.3,8030,"Stark, claustrophobic thriller about an anti-Semitic soldier who kills a Jewish war veteran, evading detection because of his loyal friends' protection. However, a detective is determined that the crime will not go unsolved and sets about laying a trap for the murderer.",,NR,Edward Dmytryk,John Paxton,Robert Young, Robert Mitchum, Robert Ryan,17168,41015,Warner Bros. Pictures,Fresh,82,17,Upright,74,1885,5,14,3,17e1d9b6-6666-4a83-a898-c1a2472f3cf2
The Bishop's Wife,1947,Samuel Goldwyn Productions,Nominee,0,1947,109,Comedy,Drama,Fantasy,7.6,15790,,,NR,Henry Koster,,Cary Grant, Loretta Young, David Niven,,,The Samuel Goldwyn Company,,84,25,,80,5000,8,21,4,785f3b90-b888-4e90-9c85-5f7029845027
Great Expectations,1947,J. Arthur Rank-Cineguild,Nominee,0,1946,118,Adventure,Drama,Mystery,7.8,23120,,,NR,David Lean,,John Mills, Valerie Hobson, Bernard Miles,,,Cineguild,,100,29,,88,5000,7,29,0,17b7b449-345b-4d36-8d67-65597db9d27f
Gentleman's Agreement,1947,20th Century-Fox,Winner,1,1947,118,Drama,Romance,NG,7.2,15593,"When journalist Phil Green (Gregory Peck) moves to New York City, he takes on a high-profile magazine assignment about anti-Semitism. In order to truly view things from an empathetic perspective, he pretends to be a Jew and begins to experience many forms of bigotry, both firsthand and through a Jewish friend, Dave Goldman (John Garfield). Phil soon falls in love with beautiful Kathy Lacy (Dorothy McGuire), but their relationship is complicated by his unusual endeavor.",It occasionally fails to live up to its subject matter -- and is perhaps an 'important' film more than a 'great' one -- but the performances from Gregory Peck and Dorothy McGuire are superb.,PG,Elia Kazan,Moss Hart,Gregory Peck, Dorothy McGuire, John Garfield,17482,42333,20th Century Fox,Certified-Fresh,76,45,Upright,78,5627,11,34,11,2de2c926-1509-4aca-bb49-6a2514c7ec7a
Miracle on 34th Street,1947,20th Century-Fox,Nominee,0,1947,96,Comedy,Drama,Family,7.9,44012,"In this Christmas classic, an old man going by the name of Kris Kringle (Edmund Gwenn) fills in for an intoxicated Santa in Macy's annual Thanksgiving Day parade. Kringle proves to be such a hit that he is soon appearing regularly at the chain's main store in midtown Manhattan. When Kringle surprises customers and employees alike by claiming that he really is Santa Claus, it leads to a court case to determine his mental health and, more importantly, his authenticity.","Irrefutable proof that gentle sentimentalism can be the chief ingredient in a wonderful film, Miracle on 34th Street delivers a warm holiday message without resorting to treacle.",NR,George Seaton,George Seaton,Edmund Gwenn, John Payne, Maureen O'Hara,17168,42333,20th Century Fox,Certified-Fresh,96,47,Upright,87,47572,10,45,2,ef10f104-3bb4-4576-be62-49bd89ffa349
The Snake Pit,1948,20th Century-Fox,Nominee,0,1948,108,Drama,Mystery,NG,7.6,7232,"In this psychological drama, Virginia Cunningham (Olivia de Havilland) is confused upon finding herself in a mental hospital, with no memory of her arrival at the institution. Tormented by delusions and unable to even recognize her husband, Robert (Mark Stevens), she is treated by Dr. Mark Kik (Leo Genn), who is determined to get to the root of her mental illness. As her treatment progresses, flashbacks depict events in Virginia's life that may have contributed to her instability.",,NR,Anatole Litvak,"Frank Partos, Millen Brand",Olivia de Havilland, Mark Stevens, Leo Genn,17841,41275,20th Century Fox,Fresh,100,8,Upright,83,2656,2,8,0,894290ac-2b55-458e-b4b6-c5978fc487c7
Johnny Belinda,1948,Warner Bros.,Nominee,0,1948,102,Drama,NG,NG,7.8,4549,"In this acclaimed drama, Belinda McDonald (Jane Wyman), a young deaf-mute woman living off the coast of Canada on Cape Breton Island, becomes close to the new local doctor, Robert Richardson (Lew Ayres). When Belinda is raped by a customer at her family's farm and becomes pregnant, many suspect Dr. Richardson. Seeking to start over in a new location with Belinda, he leaves town to find a new home, but more conflicts ensue, further jeopardizing their happiness.",,NR,Jean Negulesco,"Allen Vincent, Irma von Cube",Jane Wyman, Lew Ayres, Charles Bickford,17790,42695,Warner Bros. Pictures,Fresh,89,9,Upright,88,1429,0,8,1,45588422-6266-430e-b2e1-292fbf12e238
Hamlet,1948,J. Arthur Rank-Two Cities Films,Winner,1,1948,154,Drama,NG,NG,7.6,16167,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier's ""Hamlet"" continues to be the most compelling version of Shakespeare's beloved tragedy. Olivier is at his most inspired - both as director and as the melancholy Dane himself - as he breathes new life into the words of one of the world's greatest dramatists.","A well-executed labor of love from star and director Laurence Olivier, Hamlet not only proved that Shakespeare could be successfully adapted to the big screen, it paved the way for further cinematic interpretations.",NR,Laurence Olivier,"Laurence Olivier, Alan Dent",Laurence Olivier, Jean Simmons, Eileen Herlie,17657,42817,Universal Pictures,Certified-Fresh,95,40,Upright,80,7542,8,38,2,443109e2-d3c6-4b1d-9bec-3c732801d861
The Treasure of the Sierra Madre,1948,Warner Bros.,Nominee,0,1948,126,Adventure,Drama,Western,8.2,119133,"In this classic adventure film, two rough-and-tumble wanderers, Dobbs (Humphrey Bogart) and Curtin (Tim Holt), meet up with a veteran prospector, Howard (Walter Huston), in Mexico and head into the Sierra Madre mountains to find gold. Although they discover treasure, they also find plenty of trouble, not only from ruthless bandits lurking in the dangerous Mexican wilderness but from their own insecurities and greed, which threaten to bring conflict at any moment.","Remade but never duplicated, this darkly humorous morality tale represents John Huston at his finest.",NR,John Huston,John Huston,Humphrey Bogart, Tim Holt, Walter Huston,17539,42132,Warner Bros. Pictures,Certified-Fresh,100,49,Upright,93,26122,5,49,0,76320732-9fe8-40c8-9532-bf16a4b45483
The Red Shoes,1948,J. Arthur Rank-Archers,Nominee,0,1948,135,Drama,Music,Romance,8.1,32804,"In this classic drama, Vicky Page (Moira Shearer) is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov (Anton Walbrook), urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster (Marius Goring). Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.","The Red Shoes is one of the best-looking movies ever, and blends multiple moods and styles with balletic grace.",R,Michael Powell,"Michael Powell, Emeric Pressburger, Keith Winter",Moira Shearer, Anton Walbrook, Marius Goring,17782,42817,Eagle-Lion Films,Certified-Fresh,97,59,Upright,92,11766,16,57,2,75ddd507-9137-452e-b08c-89cbb2297bd8
Battleground,1949,Metro-Goldwyn-Mayer,Nominee,0,1949,118,Action,Drama,History,7.5,6970,"Members of the U.S. Army's 101st Airborne Division are fighting for their country amidst the rugged terrain of Bastogne, Belgium, in December 1944. Holley (Van Johnson) and his American compatriots have already seen one of their own, Roderigues (Ricardo Montalban), perish under enemy fire. The men try to rebuff another series of Nazi attacks, but what they really need is a change in the weather. Without clear skies, they'll never get the air support they need.",,NR,William Wellman,Robert Pirosh,Van Johnson, Ricardo Montalban, John Hodiak,18211,39678,MGM,Fresh,75,8,Upright,82,2737,1,6,2,8e1fd126-bcd3-4f20-bfa7-54bcc056dfe8
The Heiress,1949,Paramount,Nominee,0,1949,115,Drama,Romance,NG,8.2,14871,,,NR,William Wyler,,Olivia de Havilland, Montgomery Clift, Ralph Richardson,,,Paramount Pictures,,100,14,,93,2500,2,14,0,27cd281b-e5bd-4b05-9634-8557891a9593
A Letter to Three Wives,1949,20th Century-Fox,Nominee,0,1949,103,Drama,Romance,NG,7.7,9000,"Deborah Bishop, Lora Mae Hollingsway and Rita Phipps are three friends who all receive letters from another friend, Addie Ross, telling them that she is about to leave town with one of their husbands. Deborah, Lora Mae and Rita have to find out which of their spouses, Brad, Porter and George respectively, have been unfaithful.",,NR,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Vera Caspary",Jeanne Crain, Ann Sothern, Linda Darnell,17918,42333,Fox Searchlight,Fresh,94,18,Upright,86,3781,2,17,1,2c905a08-03f0-45e6-91e7-a9c9bc17826d
Twelve O'Clock High,1949,20th Century-Fox,Nominee,0,1949,132,Drama,War,NG,7.7,13989,"In 1942, an American Air Force unit stationed in England is plagued with morale problems until no-nonsense Brigadier General Frank Savage (Gregory Peck) assumes command. His tough leadership is initially resented by not only his pilots but his second-in-command (Hugh Marlowe), a West Point graduate and son of a general. But, with the help of a hotshot flying ace (Robert Patten) and a sympathetic administrator (Dean Jagger), the unit pulls together into a gung-ho fighting crew.","Twelve O'Clock High is a high-stakes, high-tension war drama powered by great, well-written characters.",NR,Henry King,"Beirne Lay, Lt. Beirne Lay Jr., Sy Bartlett",Gregory Peck, Hugh Marlowe, Dean Jagger,17899,42807,20th Century Fox,Fresh,96,25,Upright,87,6019,5,24,1,1a47efdd-746d-4c28-bd9f-15d2553c73ae
All the King's Men,1949,Columbia,Winner,1,1949,110,Drama,Film-Noir,NG,7.5,14270,"Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren.",Broderick Crawford is spellbinding as politician Willie Stark in director Robert Rossen's adaptation of the Robert Penn Warren novel about the corrosive effects of power on the human soul.,PG,Robert Rossen,"Robert Rossen, Robert Penn Warren",Broderick Crawford, Mercedes McCambridge, John Derek,18210,41395,Sony Pictures Home Entertainment,Certified-Fresh,95,42,Upright,78,4866,9,40,2,80c1f8b9-36f0-4648-9103-1a27b4b15d6f
King Solomon's Mines,1950,Metro-Goldwyn-Mayer,Nominee,0,1950,103,Action,Adventure,Romance,6.8,5929,"A rescue party sets out to find an explorer who has disappeared on an African treasure hunt. The search leads the party across the continent and through the terrors of jungle, swamp and desert. Their ultimate destination is the fabled lost mine of Solomon, a source of unimaginable wealth and deadly danger. From H. Rider Haggard's novel.",,G,Compton Bennett,"Helen Deutsch, Compton Bennett, Andrew Marton",Stewart Granger, Deborah Kerr, Richard Carlson,18591,41015,MGM,Fresh,92,12,Spilled,59,3242,0,11,1,da749acb-0277-4941-93b2-54dda27d75fb
Father of the Bride,1950,Metro-Goldwyn-Mayer,Nominee,0,1950,92,Comedy,Romance,NG,7.2,10742,"When beautiful Kay Banks (Elizabeth Taylor) announces her engagement to Buckley Dunstan (Don Taylor), her doting middle-class father, Stan (Spencer Tracy), must contend with a variety of problems, ranging from money issues to wedding planning difficulties. As things get hectic, Stan's wife, Ellie (Joan Bennett), tries to be the calm in the center of the storm. At the heart of the comedy, though, is Stan's emotional tie to his little girl, and his realization that she has indeed grown up.","With a terrific script, great performances from Spencer Tracy and Elizabeth Taylor, and assured direction from Vincent Minnelli, Father of the Bride endures as a sparkling comedy of its era.",G,Vincente Minnelli,"Frances Goodrich, Albert Hackett",Spencer Tracy, Elizabeth Taylor, Joan Bennett,18264,39814,MGM,Fresh,90,31,Upright,74,13901,6,28,3,f83ea7fe-8013-4f13-bda4-4458c4d177e1
Born Yesterday,1950,Columbia,Nominee,0,1950,103,Comedy,Drama,Romance,7.6,10597,"Brassy blonde moll Billie Dawn (Judy Holliday) hits Washington, D.C., with her unscrupulous millionaire sugar daddy, Harry Brock (Broderick Crawford), and his sleazy lawyer, Jim Devery (Howard St. John), who has been pressuring Harry to marry Billie by pointing out that a wife cannot be forced to testify against her husband. In an effort to make Billie more socially acceptable, Harry hires journalist Paul Verrall (William Holden) to smarten her up -- and sparks soon fly between the pair.","Marrying screwball romance with political satire, Born Yesterday is a substantive romp with a ferociously smart performance by Judy Holliday as an uncouth bombshell.",NR,George Cukor,Albert Mannheimer,Judy Holliday, Broderick Crawford, William Holden,18623,41275,Columbia Pictures,Fresh,97,34,Upright,86,4780,6,33,1,7e8fd405-833d-4bba-821c-88f3601017a2
Sunset Boulevard,1950,Paramount,Nominee,0,1950,110,Drama,Film-Noir,NG,8.4,210129,"An aging silent film queen refuses to accept that her stardom has ended. She hires a young screenwriter to help set up her movie comeback. The screenwriter believes he can manipulate her, but he soon finds out he is wrong. The screenwriters ambivalence about their relationship and her unwillingness to let go leads to a situation of violence, madness, and death.","Arguably the greatest movie about Hollywood, Billy Wilder's masterpiece Sunset Boulevard is a tremendously entertaining combination of noir, black comedy, and character study.",G,Billy Wilder,"D.M. Marshman, Jr., Charles Brackett, Billy Wilder",William Holden, Gloria Swanson, Erich von Stroheim,18479,42592,Paramount Pictures,Certified-Fresh,99,69,Upright,95,53464,12,68,1,ed6d6f9d-2b4e-495e-bdfc-4b3c4f96ee5a
All About Eve,1950,20th Century-Fox,Winner,1,1950,138,Drama,NG,NG,8.2,125426,"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo.","Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.",PG,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis, Anne Baxter, Gary Merrill,18264,42333,20th Century Fox,Certified-Fresh,99,77,Upright,94,45248,22,76,1,95920d24-3ce7-41e7-bf13-35f70fa38da1
Decision Before Dawn,1951,Anatole Litvak and Frank McCarthy,Nominee,0,1951,119,Drama,War,NG,7.2,2596,"During World War II, an American intelligence unit led by Col. Devlin (Gary Merrill) is recruiting German prisoners of war to infiltrate enemy lines and gather vital information. Lt. Rennick (Richard Basehart) heads a unit of Germans that includes the mistrustful ""Tiger"" (Hans Christian Blech) and the wide-eyed ""Happy"" (Oskar Werner). When word arrives that a German general is about to negotiate the surrender of his corps, Devlin sends Rennick and his volunteers on a dangerous mission.",,NR,Anatole Litvak,Peter Viertel,Richard Basehart, Oskar Werner, Gary Merrill,18983,42410,20th Century Fox,Fresh,100,6,Upright,71,341,2,6,0,1d36e03f-db5b-44e6-8cba-9c914bcb72f0
Quo Vadis,1951,Sam Zimbalist,Nominee,0,1951,171,Biography,Drama,History,7.2,14371,,,NR,Mervyn LeRoy,,Robert Taylor, Deborah Kerr, Peter Ustinov,,,MGM,,83,18,,73,2500,7,15,3,493704e4-edf5-493c-ba97-ff530fe7332f
A Place in the Sun,1951,George Stevens,Nominee,0,1951,122,Drama,Romance,NG,7.8,21429,"In this classic version of Theodore Dreiser's novel ""An American Tragedy,"" George Eastman (Montgomery Clift), the nephew of a wealthy industrialist, is excluded from high society and given a blue-collar job at his uncle's factory. While ascending the ranks of the company, George becomes romantically involved with co-worker Alice Tripp (Shelley Winters). However, when he is introduced to socialite Angela Vickers (Elizabeth Taylor), he quickly falls for her, leading to a tragic love triangle.","Director George Stevens' stately treatment of A Place in the Sun buffs out some of the novel's nuance with blunt moralizing, but riveting performances by Montgomery Clift and company give the drama a bruising punch.",NR,George Stevens,"Michael Wilson, Harry Brown",Elizabeth Taylor, Montgomery Clift, Shelley Winters,18855,41796,Paramount Pictures,Fresh,77,31,Upright,84,8530,9,24,7,4ca1818a-9d22-4a5e-884e-4f892a2232ed
A Streetcar Named Desire,1951,Charles K. Feldman,Nominee,0,1951,122,Drama,NG,NG,8,103781,"Based on the play by Tennessee Williams, this renowned drama follows troubled former schoolteacher Blanche DuBois (Vivien Leigh) as she leaves small-town Mississippi and moves in with her sister, Stella Kowalski (Kim Hunter), and her husband, Stanley (Marlon Brando), in New Orleans. Blanche's flirtatious Southern-belle presence causes problems for Stella and Stanley, who already have a volatile relationship, leading to even greater conflict in the Kowalski household.","A feverish rendition of a heart-rending story, A Streetcar Named Desire gives Tennessee Williams' stage play explosive power on the screen thanks to Elia Kazan's searing direction and a sterling ensemble at the peak of their craft.",PG,Elia Kazan,"Tennessee Williams, Oscar Saul",Marlon Brando, Vivien Leigh, Karl Malden,18890,41549,Warner Bros. Pictures,Certified-Fresh,98,60,Upright,90,55148,13,59,1,2c848e08-0362-4305-b9c6-b52b3210b998
An American in Paris,1951,Arthur Freed,Winner,1,1951,114,Drama,Musical,Romance,7.2,31953,"Jerry Mulligan (Gene Kelly) is an American ex-GI who stays in post-war Paris to become a painter, and falls for the gamine charms of Lise Bouvier (Leslie Caron). However, his paintings come to the attention of Milo Roberts, a rich American heiress, who is interested in more than just art.","The plot may be problematic, but such concerns are rendered superfluous by Gene Kelly and Leslie Caron's star power, the Gershwins' classic songs, and Vincente Minnelli's colorful, sympathetic direction.",G,Vincente Minnelli,"Alan Jay Lerner, Vincente Minnelli",Gene Kelly, Maurice Chevalier, Leslie Caron,18905,39675,MGM,Certified-Fresh,96,68,Upright,79,26460,14,65,3,11fe2b71-cbc2-446f-a3d6-2c5b75ca4dd3
Moulin Rouge,1952,"John Huston, John Woolf and James Woolf",Nominee,0,1952,119,Biography,Drama,Music,7.1,5284,"Visually exquisite biopic of Toulouse-Lautrec, the crippled painter whose work perfectly captured the spirit of bohemian Paris in the naughty 1890s. Portrayed as an embittered loner, he is tormented by his doomed relationships with prostitute Marie Charlet and sympathetic model Myriamme.",,NR,John Huston,"Anthony Veiller, John Huston",José Ferrer, Colette Marchand, Zsa Zsa Gabor,19351,42838,United Artists,Fresh,78,9,Upright,90,68249,1,7,2,ba1a50b8-ecb8-4626-b122-a29205c20a4f
